strain,date,region,host,year,country,genotype,place_of_collection,author,accession
MZ595191.1,2020-11-03 (2020-01-01 - 2020-12-31),SSAf,mosquito,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MZ595192.1,2020-11-03 (2020-01-01 - 2020-12-31),SSAf,mosquito,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MZ595188.1,2020-04-15 (2020-01-01 - 2020-12-31),SSAf,mosquito,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MZ595186.1,2020-12-31 (2020-06-30 - 2020-12-31),SSAf,mosquito,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MH444796.1,1972-11-23 (1969-02-14 - 1976-08-27),WEu,unknown_host,1979,France,WAII,France,"Beck,A.S., Wood,T.G., Widen,S.G., Thompson,J.K. and Barrett,A.D.",
AF094612.1,1979-12-31 (1979-03-09 - 1979-12-31),WEu,unknown_host,1979,Trinidad_and_Tobago,WAII,Trinidad_and_Tobago,"Pisano,M.R., Mercier,V., Deubel,V. and Tolou,H.",
MH444794.1,1992-12-09 (1985-07-09 - 1995-09-04),WEu,unknown_host,1995,France,WAII,France,"Beck,A.S., Wood,T.G., Widen,S.G., Thompson,J.K. and Barrett,A.D.",
JX898871.1,1995-10-04 (1995-01-01 - 1995-12-31),SSAf,Aedes aegypti,1995,Senegal,WAII,Senegal,"Stock,N.K., Laraway,H., Faye,O., Diallo,M., Niedrig,M. and Sall,A.A.",
JX898872.1,1995-10-04 (1995-01-01 - 1995-12-31),SSAf,Aedes aegypti,1995,Senegal,WAII,Senegal,"Stock,N.K., Laraway,H., Faye,O., Diallo,M., Niedrig,M. and Sall,A.A.",
MH444797.1,2004-10-31 (1996-11-07 - 2018-05-07),WEu,unknown_host,1995,France,WAII,France,"Beck,A.S., Wood,T.G., Widen,S.G., Thompson,J.K. and Barrett,A.D.",
MG051218.1,2017-11-14 (2017-04-13 - 2018-10-28),WEu,unknown_host,2019,France,WAII,France,"da Costa,A., Prehaud,C., Khou,C., Pardigon,N., Saulnier,A., Nougarede,N. and Lafon,M.",
MW249089.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MW249092.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MW249084.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MW249090.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
U21055.1,2022-04-08 (2019-02-21 - 2023-03-30),WEu,unknown_host,2019,France,WAII,France,"Wang,E., Ryman,K.D., Jennings,A.D., Wood,D.J., Taffs,F., Minor,P.D., Sanders,P.G. and Barrett,A.D.",
MH444795.1,2018-01-11 (2017-09-28 - 2019-04-28),WEu,unknown_host,2019,France,WAII,France,"Beck,A.S., Wood,T.G., Widen,S.G., Thompson,J.K. and Barrett,A.D.",
MW249085.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MW249087.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MW249086.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MW249095.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MW249094.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MW249083.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MW249081.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MW249088.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MW249091.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MW249079.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MW249082.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MW249093.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MW249077.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MW249078.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MH444798.1,1926-06-27 (1924-01-11 - 1927-08-08),SSAf,Homo sapiens,1927,Senegal,WAII,Senegal,"Beck,A.S., Wood,T.G., Widen,S.G., Thompson,J.K. and Barrett,A.D.",
MZ285906.1,1927-12-31 (1927-09-30 - 1927-12-31),SSAf,Homo sapiens,1927,Senegal,WAII,Senegal,"Strother,A.E., Widen,S.G., Thompson,J.K. and Barrett,A.D.",
U21056.1,1927-07-25 (1927-01-01 - 1927-12-31),SSAf,unknown_host,1927,Senegal,WAII,Senegal,"Wang,E., Ryman,K.D., Jennings,A.D., Wood,D.J., Taffs,F., Minor,P.D., Sanders,P.G. and Barrett,A.D.",
MT956630.1,1928-03-26 (1927-06-15 - 1929-06-08),SSAf,unknown_host,1927,Senegal,WAII,Senegal,"Davis,E., Thompson,J., Widen,S. and Barrett,A.",
MT956628.1,1927-07-08 (1926-10-17 - 1928-01-15),SSAf,unknown_host,1927,Senegal,WAII,Senegal,"Davis,E., Thompson,J., Widen,S. and Barrett,A.",
KF769016.1,1927-09-17 (1927-03-12 - 1928-03-11),SSAf,unknown_host,1927,Ghana,WAII,Senegal,"Beck,A., Tesh,R.B., Wood,T.G., Widen,S.G., Ryman,K.D. and Barrett,A.D.",
MT956629.1,1998-08-18 (1962-11-17 - 2004-12-12),WEu,unknown_host,2015,France,WAII,France,"Davis,E., Thompson,J., Widen,S. and Barrett,A.",
MF926243.1,2015-01-01 (2015-01-01 - 2015-11-25),WEu,hamster,2015,France,WAII,France,"Klitting,R., Roth,L., Rey,F.A. and de Lamballerie,X.",
AY640589.1,1927-11-11 (1927-01-01 - 1927-12-31),SSAf,unknown_host,1927,Ghana,WAII,Ghana,"McElroy,K.L., Tsetsarkin,K.A., Vanlandingham,D.L. and Higgs,S.",
MF405338.1,1927-12-31 (1927-10-24 - 1927-12-31),SSAf,Homo sapiens,1927,Ghana,WAII,Ghana,"Klitting,R., Aubry,F., Piorkowski,G. and de Lamballerie,X.",
KU978764.1,6/6/1941,NAf,Homo sapiens,1941,Sudan,WAII,Sudan,"Guerbois,M., Forrester,N.L., Rossi,S.L., Lin,D., Hari,K. and Weaver,S.C.",
U17066.1,1996-08-27 (1992-03-10 - 1998-05-10),"LA,C",unknown_host,1997,Brazil,WAII,Brazil,"dos Santos,C.N., Post,P.R., Carvalho,R., Ferreira,I.I., Rice,C.M. and Galler,R.",
MN737509.1,11/21/2019,"LA,C",unknown_host,2019,Brazil,WAII,Brazil,"Andrade,A.S., Soares,A.E.R., Almeida,L.G.P., Pestana,C.P., Aquino,C.L., Medeiros,M.A. and Vasconcelos,A.T.R.",
MW158362.1,1997-07-31 (1997-07-04 - 1997-07-31),"LA,C",Homo sapiens,1997,Ecuador,WAII,Ecuador,"Queiroz,A.L.N., Barros,R.S., Silva,S.P., Rodrigues,D.S.G., Cruz,A.C.R., Dos Santos,F.B., Vasconcelos,P.F.C., Tesh,R.B., Nunes,B.T.D. and Medeiros,D.B.A.",
MK882620.1,2/5/2018,"LA,C",Homo sapiens,2018,Brazil,WAII,Brazil,"Giovanetti,M., Mendonca,M.C.L., Fonseca,V., Fabri,A., Rodrigues,C.D.S., Santos,C.C., Mares-Guia,M.A., Theze,J., Jesus,J.G., Xavier,J., Fortunato,S.F.S., Sequeira,P.C., Faria,N.R., Aguiar,S.F., Chieppe,A., Alcantara,L.C.J. and Filippis,A.M.B.",
GQ379163.1,2007-10-25 (2007-10-01 - 2007-10-31),"LA,C",Homo sapiens,2007,Peru,WAII,Peru,"Whittembury,A., Ramirez,G., Hernandez,H., Ropero,A.M., Waterman,S., Ticona,M., Brinton,M., Uchuya,J., Gershman,M., Toledo,W., Staples,E., Campos,C., Martinez,M., Chang,G.J., Cabezas,C., Lanciotti,R., Zaki,S., Montgomery,J.M., Monath,T. and Hayes,E.",
GQ379162.1,2007-10-01 (2007-10-01 - 2007-10-27),"LA,C",Homo sapiens,2007,Peru,WAII,Peru,"Whittembury,A., Ramirez,G., Hernandez,H., Ropero,A.M., Waterman,S., Ticona,M., Brinton,M., Uchuya,J., Gershman,M., Toledo,W., Staples,E., Campos,C., Martinez,M., Chang,G.J., Cabezas,C., Lanciotti,R., Zaki,S., Montgomery,J.M., Monath,T. and Hayes,E.",
OP796361.1,1967-11-08 (1966-01-24 - 1969-12-25),EEu,unknown_host,1966,Russia,WAII,Russia,"Kuznetsova,N.A., Siniavin,A., Butenko,A., Larichev,V., Kozlova,A., Usachev,E., Nikiforova,M., Usacheva,O., Shchetinin,A., Pochtovyi,A., Shidlovskaya,E., Odintsova,A., Belyaeva,E., Voskoboinikov,A., Bessonova,A., Vasilchenko,L., Karganova,G., Zlobin,V., Logunov,D., Gushchin,V. and Gintsburg,A.",
DQ100292.1,1967-05-09 (1965-08-04 - 1968-10-23),"LA,C",unknown_host,1966,Brazil,WAII,Brazil,"Engel,A.R., Vasconcelos,P.F.C., McArthur,M.A. and Barrett,A.D.T.",
MG051217.1,1966-07-20 (1966-01-04 - 1967-02-05),"LA,C",unknown_host,1966,Brazil,WAII,Brazil,"da Costa,A., Prehaud,C., Khou,C., Pardigon,N., Saulnier,A., Nougarede,N. and Lafon,M.",
MW158363.1,1966-12-31 (1966-10-26 - 1966-12-31),NAm,Homo sapiens,1966,USA,WAII,USA,"Queiroz,A.L.N., Barros,R.S., Silva,S.P., Rodrigues,D.S.G., Cruz,A.C.R., Dos Santos,F.B., Vasconcelos,P.F.C., Tesh,R.B., Nunes,B.T.D. and Medeiros,D.B.A.",
MW158358.1,2004-01-01 (2004-01-01 - 2004-11-25),"LA,C",Homo sapiens,2004,Peru,WAII,Peru,"Queiroz,A.L.N., Barros,R.S., Silva,S.P., Rodrigues,D.S.G., Cruz,A.C.R., Dos Santos,F.B., Vasconcelos,P.F.C., Tesh,R.B., Nunes,B.T.D. and Medeiros,D.B.A.",
AF052445.1,1967-08-13 (1966-11-03 - 1968-09-24),"LA,C",unknown_host,1966,Brazil,WAII,Brazil,"Xie,H., Ryman,K.D., Campbell,G.A. and Barrett,A.D.",
AF052444.1,1967-03-22 (1966-08-15 - 1968-02-07),"LA,C",unknown_host,1966,Brazil,WAII,Brazil,"Xie,H., Ryman,K.D., Campbell,G.A. and Barrett,A.D.",
AF052446.1,1967-06-10 (1966-09-25 - 1968-05-22),"LA,C",unknown_host,1966,Brazil,WAII,Brazil,"Xie,H., Ryman,K.D., Campbell,G.A. and Barrett,A.D.",
MG922934.1,2017-04-06 (2017-01-01 - 2017-12-31),WEu,Homo sapiens,2017,Germany,WAII,Germany,"Eisermann,P., Gunther,S., Schmidt-Chanasit,J. and Cadar,D.",
MF289572.1,2017-06-30 (2017-06-01 - 2017-06-30),SEAs,unknown_host,2017,Singapore,WAII,Singapore,"Chua,R., Tan,L.K. and Ng,L.C.",
MW249080.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MN708491.1,2/7/2019,WEu,unknown_host,2019,Belgium,WAII,Belgium,"Kum,D., Mishra,N., Vrancken,B., Thibaut,H.J., Wilder-Smith,A., Lemey,P., Neyts,J. and Dallmeier,K.",
MN708495.1,2/7/2019,WEu,unknown_host,2019,Belgium,WAII,Belgium,"Kum,D., Mishra,N., Vrancken,B., Thibaut,H.J., Wilder-Smith,A., Lemey,P., Neyts,J. and Dallmeier,K.",
MN708494.1,2/7/2019,WEu,unknown_host,2019,Belgium,WAII,Belgium,"Kum,D., Mishra,N., Vrancken,B., Thibaut,H.J., Wilder-Smith,A., Lemey,P., Neyts,J. and Dallmeier,K.",
MN708493.1,2/7/2019,WEu,unknown_host,2019,Belgium,WAII,Belgium,"Kum,D., Mishra,N., Vrancken,B., Thibaut,H.J., Wilder-Smith,A., Lemey,P., Neyts,J. and Dallmeier,K.",
MN708492.1,2/7/2019,WEu,unknown_host,2019,Belgium,WAII,Belgium,"Kum,D., Mishra,N., Vrancken,B., Thibaut,H.J., Wilder-Smith,A., Lemey,P., Neyts,J. and Dallmeier,K.",
MN708488.1,2/7/2019,WEu,unknown_host,2019,France,WAII,France,"Kum,D., Mishra,N., Vrancken,B., Thibaut,H.J., Wilder-Smith,A., Lemey,P., Neyts,J. and Dallmeier,K.",
MW249076.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MW249074.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MN106241.1,1995-08-28 (1995-03-04 - 1996-02-03),WEu,unknown_host,2019,Belgium,WAII,Belgium,"Danet,L., Beauclair,G., Berthet,M., Moratorio,G., Gracias,S., Tangy,F., Choumet,V. and Jouvenet,N.",
FJ654700.1,1997-11-02 (1996-07-26 - 2000-10-02),EAs,unknown_host,2019,China,WAII,China,"Li,J., Yu,Y.X. and Dong,G.M.",
X03700.1,1996-12-19 (1996-01-20 - 1998-08-13),WEu,unknown_host,2019,Belgium,WAII,Belgium,"Rice,C.M., Lenches,E.M., Eddy,S.R., Shin,S.J., Sheets,R.L. and Strauss,J.H.",
X15062.1,1996-04-14 (1995-08-30 - 1997-03-11),WEu,unknown_host,2019,Belgium,WAII,Belgium,"Dupuy,A., Despres,P., Cahour,A., Girard,M. and Bouloy,M.",
DQ118157.1,2004-12-31 (2004-02-09 - 2004-12-31),SEu,unknown_host,2004,Spain,WAII,Spain,"Doblas,A., Domingo,C., Bae,H.G., Bohorquez,C.L., de Ory,F., Niedrig,M., Mora,D., Carrasco,F.J. and Tenorio,A.",
MW158360.1,2011-03-29 (2011-03-01 - 2011-03-31),"LA,C",Homo sapiens,2011,Peru,WAII,Peru,"Queiroz,A.L.N., Barros,R.S., Silva,S.P., Rodrigues,D.S.G., Cruz,A.C.R., Dos Santos,F.B., Vasconcelos,P.F.C., Tesh,R.B., Nunes,B.T.D. and Medeiros,D.B.A.",
MN708490.1,2/7/2019,WEu,unknown_host,2019,Belgium,WAII,Belgium,"Kum,D., Mishra,N., Vrancken,B., Thibaut,H.J., Wilder-Smith,A., Lemey,P., Neyts,J. and Dallmeier,K.",
MW249075.1,2/7/2019,WEu,Homo sapiens,2019,France,WAII,France,"Bakoa,F., Prehaud,C., Beauclair,G., Chazal,M., Mantel,N., Lafon,M. and Jouvenet,N.",
MN708489.1,2/7/2019,WEu,unknown_host,2019,Belgium,WAII,Belgium,"Kum,D., Mishra,N., Vrancken,B., Thibaut,H.J., Wilder-Smith,A., Lemey,P., Neyts,J. and Dallmeier,K.",
U17067.1,1995-12-21 (1991-01-23 - 2015-01-12),WEu,unknown_host,1995,Belgium,WAII,Belgium,"dos Santos,C.N., Post,P.R., Carvalho,R., Ferreira,I.I., Rice,C.M. and Galler,R.",
AF052439.1,1996-04-07 (1995-12-10 - 1997-01-22),WEu,unknown_host,1995,Belgium,WAII,Belgium,"Xie,H., Cass,A.R. and Barrett,A.D.",
AF052437.1,1995-12-31 (1995-11-26 - 1995-12-31),WEu,unknown_host,1995,Belgium,WAII,Belgium,"Xie,H., Cass,A.R. and Barrett,A.D.",
AF052438.1,1996-02-02 (1995-11-15 - 1996-09-21),WEu,unknown_host,1995,Belgium,WAII,Belgium,"Xie,H., Cass,A.R. and Barrett,A.D.",
JN628281.1,2012-06-30 (2004-09-15 - 2021-03-17),NAm,unknown_host,2019,USA,WAII,USA,"Stock,N.K., Boschetti,N., Herzog,C., Appelhans,M.S. and Niedrig,M.",
JN628279.1,2012-06-30 (2004-09-15 - 2021-03-17),NAm,unknown_host,2019,USA,WAII,USA,"Stock,N.K., Boschetti,N., Herzog,C., Appelhans,M.S. and Niedrig,M.",
MT107250.1,2012-06-30 (2004-09-15 - 2021-03-17),EEu,unknown_host,2019,Russia,WAII,Russia,"Gmyl,L.V., Gmyl,A.P., Dukachov,S.E. and Sinyugina,A.A.",
JN628280.1,2012-06-30 (2004-09-15 - 2021-03-17),NAm,unknown_host,2019,USA,WAII,USA,"Stock,N.K., Boschetti,N., Herzog,C., Appelhans,M.S. and Niedrig,M.",
JN811143.1,2012-11-25 (2012-03-24 - 2013-12-15),NAm,unknown_host,2019,USA,WAII,USA,"Beasley,D.W., Morin,M., Lamb,A.R., Hayman,E., Watts,D.M., Lee,C.K., Trent,D.W. and Monath,T.P.",
JN811140.1,2012-06-30 (2004-12-25 - 2020-11-14),NAm,unknown_host,2019,USA,WAII,USA,"Beasley,D.W., Morin,M., Lamb,A.R., Hayman,E., Watts,D.M., Lee,C.K., Trent,D.W. and Monath,T.P.",
JX949181.1,7/3/2012,NAm,unknown_host,2012,USA,WAII,USA,"Amanna,I.J. and Slifka,M.K.",
JX503529.1,2012-06-30 (2004-12-25 - 2020-11-14),NAm,unknown_host,2019,USA,WAII,USA,"Dugan,V.G., Halpin,R.A., Ghedin,E., Fedorova,N., Overton,L., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Beck,A., Wentworth,D.E. and Barrett,A.",
KF769015.1,2012-06-30 (2004-12-25 - 2020-11-14),NAm,unknown_host,2019,USA,WAII,USA,"Beck,A., Tesh,R.B., Wood,T.G., Widen,S.G., Ryman,K.D. and Barrett,A.D.",
JN811141.1,2012-12-07 (2012-03-25 - 2013-11-10),NAm,unknown_host,2019,USA,WAII,USA,"Beasley,D.W., Morin,M., Lamb,A.R., Hayman,E., Watts,D.M., Lee,C.K., Trent,D.W. and Monath,T.P.",
JN811142.1,2013-08-15 (2012-08-15 - 2015-03-22),NAm,unknown_host,2019,USA,WAII,USA,"Beasley,D.W., Morin,M., Lamb,A.R., Hayman,E., Watts,D.M., Lee,C.K., Trent,D.W. and Monath,T.P.",
OM938990.1,2019-01-01 (2019-01-01 - 2019-11-25),WEu,vero cells,2019,France,WAII,France,"Esson,R., Rodrigues De Sousa,E., Benair,L., Devard,N., Soulet,D., Gillet,A., Bassard,I., Falque,S., Chareyre,A., Marmin,M., Girerd-Chambaz,Y., Logvinoff,C. and Navarro Sanchez,M.E.",
OM938988.1,2016-12-31 (2016-11-24 - 2016-12-31),WEu,vero cells,2016,France,WAII,France,"Esson,R., Rodrigues De Sousa,E., Benair,L., Devard,N., Soulet,D., Gillet,A., Bassard,I., Falque,S., Chareyre,A., Marmin,M., Girerd-Chambaz,Y., Logvinoff,C. and Navarro Sanchez,M.E.",
OM938989.1,2018-01-01 (2018-01-01 - 2018-11-25),WEu,vero cells,2018,France,WAII,France,"Esson,R., Rodrigues De Sousa,E., Benair,L., Devard,N., Soulet,D., Gillet,A., Bassard,I., Falque,S., Chareyre,A., Marmin,M., Girerd-Chambaz,Y., Logvinoff,C. and Navarro Sanchez,M.E.",
MT505352.1,5/19/2020,NAm,unknown_host,2020,USA,WAII,USA,"Baker,C., Xie,X., Zou,J., Muruato,A., Fink,K. and Shi,P.Y.",
MT505351.1,5/19/2020,NAm,unknown_host,2020,USA,WAII,USA,"Baker,C., Xie,X., Zou,J., Muruato,A., Fink,K. and Shi,P.Y.",
MN708496.1,2/7/2019,WEu,unknown_host,2019,Belgium,WAII,Belgium,"Kum,D., Mishra,N., Vrancken,B., Thibaut,H.J., Wilder-Smith,A., Lemey,P., Neyts,J. and Dallmeier,K.",
MN708497.1,2/7/2019,WEu,unknown_host,2019,Belgium,WAII,Belgium,"Kum,D., Mishra,N., Vrancken,B., Thibaut,H.J., Wilder-Smith,A., Lemey,P., Neyts,J. and Dallmeier,K.",
JF912181.1,1983-01-01 (1983-01-01 - 1983-11-21),"LA,C",Homo sapiens,1983,Brazil,SAmII,Brazil,"Nunes,M.R., Palacios,G., Cardoso,J.F., Martins,L.C., Sousa,E.C. Jr., de Lima,C.P., Medeiros,D.B., Savji,N., Desai,A., Rodrigues,S.G., Carvalho,V.L., Lipkin,W.I. and Vasconcelos,P.F.",
MW158359.1,1/20/1998,"LA,C",Homo sapiens,1998,Peru,SAmII,Peru,"Queiroz,A.L.N., Barros,R.S., Silva,S.P., Rodrigues,D.S.G., Cruz,A.C.R., Dos Santos,F.B., Vasconcelos,P.F.C., Tesh,R.B., Nunes,B.T.D. and Medeiros,D.B.A.",
MW158361.1,5/19/1995,"LA,C",Homo sapiens,1995,Peru,SAmII,Peru,"Queiroz,A.L.N., Barros,R.S., Silva,S.P., Rodrigues,D.S.G., Cruz,A.C.R., Dos Santos,F.B., Vasconcelos,P.F.C., Tesh,R.B., Nunes,B.T.D. and Medeiros,D.B.A.",
MF004382.1,1/1/1999,"LA,C",Homo sapiens,1999,Bolivia,SAmII,Bolivia,"Baronti,C., Piorkowski,G., Touret,F., Gilles,M., Pastorino,B., Querat,G., Placidi,C., Priet,S. and de Lamballerie,X.",
KF907504.1,1998-12-31 (1989-03-30 - 2009-08-04),"LA,C",Homo sapiens,1999,Bolivia,SAmII,Bolivia,"Aubry,F., Nougairede,A., de Fabritus,L., Querat,G., Gould,E.A. and de Lamballerie,X.",
MW158339.1,9/23/1960,"LA,C",Cebus sp.,1960,Brazil,SAmI,Brazil,"Queiroz,A.L.N., Barros,R.S., Silva,S.P., Rodrigues,D.S.G., Cruz,A.C.R., Dos Santos,F.B., Vasconcelos,P.F.C., Tesh,R.B., Nunes,B.T.D. and Medeiros,D.B.A.",
MW158338.1,1/21/1955,"LA,C",sentinel monkey,1955,Brazil,SAmI,Brazil,"Queiroz,A.L.N., Barros,R.S., Silva,S.P., Rodrigues,D.S.G., Cruz,A.C.R., Dos Santos,F.B., Vasconcelos,P.F.C., Tesh,R.B., Nunes,B.T.D. and Medeiros,D.B.A.",
MW158340.1,6/6/1968,"LA,C",Saguinus midas,1968,Brazil,SAmI,Brazil,"Queiroz,A.L.N., Barros,R.S., Silva,S.P., Rodrigues,D.S.G., Cruz,A.C.R., Dos Santos,F.B., Vasconcelos,P.F.C., Tesh,R.B., Nunes,B.T.D. and Medeiros,D.B.A.",
MW158343.1,2/16/1973,"LA,C",Haemagogus sp.,1973,Brazil,SAmI,Brazil,"Queiroz,A.L.N., Barros,R.S., Silva,S.P., Rodrigues,D.S.G., Cruz,A.C.R., Dos Santos,F.B., Vasconcelos,P.F.C., Tesh,R.B., Nunes,B.T.D. and Medeiros,D.B.A.",
MW158344.1,6/16/1985,"LA,C",Haemagogus janthinomys,1985,Brazil,SAmI,Brazil,"Queiroz,A.L.N., Barros,R.S., Silva,S.P., Rodrigues,D.S.G., Cruz,A.C.R., Dos Santos,F.B., Vasconcelos,P.F.C., Tesh,R.B., Nunes,B.T.D. and Medeiros,D.B.A.",
JF912180.1,1981-01-01 (1981-01-01 - 1981-11-06),"LA,C",Homo sapiens,1981,Brazil,SAmI,Brazil,"Nunes,M.R., Palacios,G., Cardoso,J.F., Martins,L.C., Sousa,E.C. Jr., de Lima,C.P., Medeiros,D.B., Savji,N., Desai,A., Rodrigues,S.G., Carvalho,V.L., Lipkin,W.I. and Vasconcelos,P.F.",
JF912183.1,1984-08-25 (1984-01-01 - 1984-12-31),"LA,C",Homo sapiens,1984,Brazil,SAmI,Brazil,"Nunes,M.R., Palacios,G., Cardoso,J.F., Martins,L.C., Sousa,E.C. Jr., de Lima,C.P., Medeiros,D.B., Savji,N., Desai,A., Rodrigues,S.G., Carvalho,V.L., Lipkin,W.I. and Vasconcelos,P.F.",
MW158341.1,6/21/1991,"LA,C",Alouatta sp.,1991,Brazil,SAmI,Brazil,"Queiroz,A.L.N., Barros,R.S., Silva,S.P., Rodrigues,D.S.G., Cruz,A.C.R., Dos Santos,F.B., Vasconcelos,P.F.C., Tesh,R.B., Nunes,B.T.D. and Medeiros,D.B.A.",
JF912186.1,1994-01-01 (1994-01-01 - 1994-10-20),"LA,C",Homo sapiens,1994,Brazil,SAmI,Brazil,"Nunes,M.R., Palacios,G., Cardoso,J.F., Martins,L.C., Sousa,E.C. Jr., de Lima,C.P., Medeiros,D.B., Savji,N., Desai,A., Rodrigues,S.G., Carvalho,V.L., Lipkin,W.I. and Vasconcelos,P.F.",
